entry_date,exit_date,side,size,entry_price,exit_price,pnl,exit_type
2023-03-03,2023-03-10,long,0,22342.8,20348.4,-1994.4,stop
2023-03-10,2023-03-13,long,0,20140.3,21986.2,1845.9,take
2023-05-11,2023-06-15,long,0,26956.4,25115.9,-1840.5,stop
2023-07-27,2023-08-18,long,0,29209.7,26609.7,-2600.1,stop
2023-08-18,2023-10-02,long,0,26042.1,27981.4,1939.4,take
2024-01-22,2024-02-08,long,0,39567.0,44326.3,4759.2,take
2024-06-18,2024-06-25,long,0,65150.0,60273.5,-4876.4,stop
2024-06-25,2024-07-05,long,0,61777.8,57045.9,-4732.0,stop
2024-07-05,2024-07-16,long,0,56604.9,64680.6,8075.7,take
2024-08-03,2024-08-06,long,0,60684.6,54003.5,-6681.0,stop
2024-08-06,2024-08-24,long,0,55991.2,64020.0,8028.7,take
2024-09-06,2024-09-14,long,0,53927.7,60456.2,6528.5,take
2024-10-10,2024-10-15,long,0,60293.2,66064.9,5771.6,take
2024-12-29,2025-01-07,long,0,93700.0,102180.5,8480.6,take
2025-02-17,2025-02-26,long,0,95743.2,88639.1,-7104.0,stop
2025-02-26,2025-03-03,long,0,84208.5,94222.0,10013.4,take
2025-04-07,2025-04-22,long,0,79140.0,87466.0,8325.9,take
2025-06-05,2025-06-10,long,0,101458.6,110228.0,8769.3,take
2025-08-05,2025-08-13,long,0,114069.6,120080.9,6011.3,take
