date,equity
2023-01-15,100000.0
2023-01-16,100000.0
2023-01-17,100000.0
2023-01-18,100000.0
2023-01-19,100000.0
2023-01-20,100000.0
2023-01-21,100000.0
2023-01-22,100000.0
2023-01-23,100000.0
2023-01-24,100000.0
2023-01-25,100000.0
2023-01-26,100000.0
2023-01-27,100000.0
2023-01-28,100000.0
2023-01-29,100000.0
2023-01-30,100000.0
2023-01-31,100000.0
2023-02-01,100000.0
2023-02-02,100000.0
2023-02-03,100000.0
2023-02-04,100000.0
2023-02-05,100000.0
2023-02-06,100000.0
2023-02-07,100000.0
2023-02-08,100000.0
2023-02-09,100000.0
2023-02-10,100000.0
2023-02-11,100000.0
2023-02-12,100000.0
2023-02-13,100000.0
2023-02-14,100000.0
2023-02-15,100000.0
2023-02-16,100000.0
2023-02-17,100000.0
2023-02-18,100000.0
2023-02-19,100000.0
2023-02-20,100000.0
2023-02-21,100000.0
2023-02-22,100000.0
2023-02-23,100000.0
2023-02-24,100000.0
2023-02-25,100000.0
2023-02-26,100000.0
2023-02-27,100000.0
2023-02-28,100000.0
2023-03-01,100000.0
2023-03-02,100000.0
2023-03-03,100000.0
2023-03-04,100000.0
2023-03-05,100000.0
2023-03-06,100000.0
2023-03-07,100000.0
2023-03-08,100000.0
2023-03-09,100000.0
2023-03-10,99777.30651
2023-03-11,100084.30651
2023-03-12,101623.20650999999
2023-03-13,103756.50650999999
2023-03-14,104319.50650999999
2023-03-15,103925.00650999999
2023-03-16,104627.40651
2023-03-17,107021.00650999999
2023-03-18,106992.1609455725
2023-03-19,106992.1609455725
2023-03-20,106992.1609455725
2023-03-21,106992.1609455725
2023-03-22,106992.1609455725
2023-03-23,106992.1609455725
2023-03-24,106992.1609455725
2023-03-25,106992.1609455725
2023-03-26,106992.1609455725
2023-03-27,106992.1609455725
2023-03-28,106992.1609455725
2023-03-29,106992.1609455725
2023-03-30,106992.1609455725
2023-03-31,106992.1609455725
2023-04-01,106992.1609455725
2023-04-02,106992.1609455725
2023-04-03,106992.1609455725
2023-04-04,106992.1609455725
2023-04-05,106992.1609455725
2023-04-06,106992.1609455725
2023-04-07,106992.1609455725
2023-04-08,106992.1609455725
2023-04-09,106992.1609455725
2023-04-10,106992.1609455725
2023-04-11,106992.1609455725
2023-04-12,106992.1609455725
2023-04-13,106992.1609455725
2023-04-14,106992.1609455725
2023-04-15,106992.1609455725
2023-04-16,106992.1609455725
2023-04-17,106992.1609455725
2023-04-18,106992.1609455725
2023-04-19,106992.1609455725
2023-04-20,106992.1609455725
2023-04-21,106992.1609455725
2023-04-22,106992.1609455725
2023-04-23,106992.1609455725
2023-04-24,106992.1609455725
2023-04-25,106992.1609455725
2023-04-26,106992.1609455725
2023-04-27,106992.1609455725
2023-04-28,106992.1609455725
2023-04-29,106992.1609455725
2023-04-30,106992.1609455725
2023-05-01,106992.1609455725
2023-05-02,106992.1609455725
2023-05-03,106992.1609455725
2023-05-04,106992.1609455725
2023-05-05,106992.1609455725
2023-05-06,106992.1609455725
2023-05-07,106992.1609455725
2023-05-08,106992.1609455725
2023-05-09,106992.1609455725
2023-05-10,106992.1609455725
2023-05-11,106992.1609455725
2023-05-12,106992.1609455725
2023-05-13,106992.1609455725
2023-05-14,106992.1609455725
2023-05-15,106992.1609455725
2023-05-16,106992.1609455725
2023-05-17,106992.1609455725
2023-05-18,106992.1609455725
2023-05-19,106992.1609455725
2023-05-20,106992.1609455725
2023-05-21,106992.1609455725
2023-05-22,106992.1609455725
2023-05-23,106992.1609455725
2023-05-24,106992.1609455725
2023-05-25,106992.1609455725
2023-05-26,106992.1609455725
2023-05-27,106992.1609455725
2023-05-28,106992.1609455725
2023-05-29,106992.1609455725
2023-05-30,106992.1609455725
2023-05-31,106992.1609455725
2023-06-01,106992.1609455725
2023-06-02,106992.1609455725
2023-06-03,106992.1609455725
2023-06-04,106992.1609455725
2023-06-05,106992.1609455725
2023-06-06,106992.1609455725
2023-06-07,106992.1609455725
2023-06-08,106992.1609455725
2023-06-09,106992.1609455725
2023-06-10,106992.1609455725
2023-06-11,106992.1609455725
2023-06-12,106992.1609455725
2023-06-13,106992.1609455725
2023-06-14,106992.1609455725
2023-06-15,106992.1609455725
2023-06-16,106992.1609455725
2023-06-17,106992.1609455725
2023-06-18,106992.1609455725
2023-06-19,106992.1609455725
2023-06-20,106992.1609455725
2023-06-21,106992.1609455725
2023-06-22,106992.1609455725
2023-06-23,106992.1609455725
2023-06-24,106992.1609455725
2023-06-25,106992.1609455725
2023-06-26,106992.1609455725
2023-06-27,106992.1609455725
2023-06-28,106992.1609455725
2023-06-29,106992.1609455725
2023-06-30,106992.1609455725
2023-07-01,106992.1609455725
